"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 27 10:21:36 CST 2023","Mon Mar 27 10:21:36 CST 2023","85","","test_file","TestFile","","","创建相薄-冒烟",""
"passed","Mon Mar 27 10:21:36 CST 2023","Mon Mar 27 10:21:36 CST 2023","97","","test_file","TestFile","","","查询地点分组下照片-冒烟",""
"passed","Mon Mar 27 10:21:36 CST 2023","Mon Mar 27 10:21:36 CST 2023","79","","test_file","TestFile","","","根据地点列表查询地点聚类-冒烟",""
"passed","Mon Mar 27 10:21:36 CST 2023","Mon Mar 27 10:21:36 CST 2023","121","","test_file","TestFile","","","查询标签下图片-冒烟",""
"passed","Mon Mar 27 10:21:37 CST 2023","Mon Mar 27 10:21:37 CST 2023","110","","test_file","TestFile","","","搜索相薄-冒烟",""
"passed","Mon Mar 27 10:21:36 CST 2023","Mon Mar 27 10:21:36 CST 2023","90","","test_file","TestFile","","","获取相薄-冒烟",""
"passed","Mon Mar 27 10:21:36 CST 2023","Mon Mar 27 10:21:37 CST 2023","107","","test_file","TestFile","","","修改相薄-冒烟",""
"passed","Mon Mar 27 10:21:37 CST 2023","Mon Mar 27 10:21:37 CST 2023","69","","test_file","TestFile","","","列举相薄中的照片-冒烟",""
"passed","Mon Mar 27 10:21:37 CST 2023","Mon Mar 27 10:21:37 CST 2023","86","","test_file","TestFile","","","删除相簿-冒烟",""
"passed","Mon Mar 27 10:21:37 CST 2023","Mon Mar 27 10:21:37 CST 2023","121","","test_file","TestFile","","","相薄添加照片-冒烟",""
"failed","Mon Mar 27 10:21:37 CST 2023","Mon Mar 27 10:21:37 CST 2023","95","","test_file","TestFile","","","相薄移出照片-冒烟",""
"passed","Mon Mar 27 10:21:37 CST 2023","Mon Mar 27 10:21:37 CST 2023","187","","test_file","TestFile","","","列举相薄-冒烟",""
"passed","Mon Mar 27 10:21:36 CST 2023","Mon Mar 27 10:21:36 CST 2023","220","","test_file","TestFile","","","列举标签种类-冒烟",""
"passed","Mon Mar 27 10:21:36 CST 2023","Mon Mar 27 10:21:36 CST 2023","73","","test_file","TestFile","","","列举地点聚类-冒烟",""
